,ratio,AvgGain,BattingAvg,AvgLoss
VG,-inf,0,0,0
CDNS,0.0,0,0,-5.236151250077303
UONE,-inf,0,0,0
AVGO,-inf,0,0,0
ADBE,0.0,0,0,-8.864057629311834
ALXN,-inf,0,0,0
LLNW,-inf,0,0,0
MXIM,-inf,0,0,0
ARCC,0.0,0,0,-5.551599447561251
COST,-inf,0,0,0
GNUS,-inf,0,0,0
FRSX,-inf,0,0,0
CRIS,0.0,0,0,-12.903223015391262
NLOK,0.0,0,0,-1.5544038192253917
GEVO,-inf,0,0,0
DGLY,-inf,0,0,0
QRTEA,-inf,16.233766635889,0,0
MAR,0.0,0,0,-11.851217322424922
VSTM,-inf,0,0,0
MGNX,0.0,0,0,-20.91607598627857
SABR,-inf,0,0,0
ENDP,-inf,0,0,0
BYND,0.0,0,0,-12.001640049030637
YNDX,0.0,0,0,-6.857235308131903
COMM,0.0,0,0,-6.475266414449902
APPS,-inf,0,0,0
DCT,-inf,0,0,0
AGEN,0.0,0,0,-25.74850581512882
DDOG,-inf,0,0,0
PRPO,0.0,0,0,-10.599078847328613
ZI,-inf,0,0,0
MIK,0.0,0,0,-13.796574455742983
EBAY,-inf,0,0,0
EVFM,-inf,0,0,0
CEMI,0.0,0,0,-18.452377686064413
BILI,0.0,0,0,-7.799076807951377
ZION,-inf,0,0,0
ZM,-inf,0,0,0
PBCT,-inf,0,0,0
ZSAN,0.0,0,0,-59.14772808089977
DISH,0.0,0,0,-5.13134430786959
INFN,-inf,0,0,0
VIAC,-inf,0,0,0
CG,0.0,0,0,-7.525326260090304
OPGN,0.0,0,0,-14.574904022044166
PEP,0.0,0,0,-2.558620664825084
WDAY,-inf,0,0,0
IMGN,-inf,0,0,0
AYRO,-inf,0,0,0
BNDX,-inf,0,0,0
TER,-inf,0,0,0
Z,-inf,0,0,0
GT,0.0,0,0,-16.632010881800795
NK,-inf,0,0,0
DVAX,-inf,0,0,0
AMD,-inf,0,0,0
QCOM,-inf,0,0,0
ABUS,0.0,0,0,-5.10204396081696
MNLO,0.0,0,0,-7.647058328542755
WTRH,-inf,0,0,0
ARPO,0.0,0,0,-13.907287382336087
NYMT,-inf,0,0,0
DFFN,-inf,0,0,0
KC,0.0,0,0,-22.553537089943298
XRAY,-inf,0,0,0
UAL,0.0,0,0,-7.554344665575952
PAAS,0.0,0,0,-12.621893771912497
MU,-inf,0,0,0
CMCSA,0.0,0,0,-10.441431182761008
SHY,0.0,0,0,-0.0347163882100987
GLUU,-inf,0,0,0
FOXA,0.0,0,0,-10.415943327546618
WATT,0.0,0,0,-6.727829660350492
MTP,0.0,0,0,-15.223970017591759
SFM,-inf,0,0,0
ON,-inf,0,0,0
CLVS,0.0,0,0,-15.297367359846564
SGMO,-inf,0,0,0
PLAY,-inf,0,0,0
HBAN,-inf,0,0,0
ROKU,-inf,0,0,0
DHC,-inf,0,0,0
AKER,-inf,0,0,0
SBUX,-inf,0,0,0
RIGL,0.0,0,0,-10.629920668563253
MDLZ,0.0,0,0,-8.04762079279283
HHT,-inf,0,0,0
BIDU,-inf,0,0,0
MTCH,-inf,0,0,0
QQQ,-inf,0,0,0
TCOM,-inf,0,0,0
PTON,-inf,0,0,0
AMRN,-inf,0,0,0
SDC,0.0,0,0,-17.854149706239543
EXC,-inf,0,0,0
STAY,0.0,0,0,-13.665083436710823
PYPL,-inf,0,0,0
HZNP,-inf,0,0,0
DOCU,-inf,2.7769530203481496,0,0
SUNW,-inf,0,0,0
PHUN,-inf,0,0,0
MDRX,-inf,0,0,0
MNST,0.0,0,0,-6.278567788097744
RUN,-inf,0,0,0
ADTX,-inf,0,0,0
ROST,0.0,0,0,-5.675044649667649
SLM,-inf,0,0,0
ACGL,0.0,0,0,-7.0980569854547815
CAKE,-inf,0,0,0
CSX,-inf,0,0,0
AGNC,-inf,0,0,0
ERIC,0.0,0,0,-1.0575493302146577
CLSN,-inf,0,0,0
MIST,0.0,0,0,-26.289929398813815
CAPR,-inf,0,0,0
GILD,-inf,0,0,0
VBIV,-inf,0,0,0
NVAX,-inf,0,0,0
NTAP,0.0,0,0,-8.572058364534374
HMHC,0.0,0,0,-16.113740809161058
FLDM,0.0,0,0,-9.104472746905223
MOMO,-inf,0,0,0
TLT,-inf,0,0,0
FCEL,-inf,0,0,0
GPRO,-inf,0,0,0
IDEX,-inf,0,0,0
FAST,0.0,0,0,-2.148611155469604
ATHX,-inf,0,0,0
LYFT,0.0,0,0,-11.445581001873528
POLA,-inf,0,0,0
MEIP,0.0,0,0,-9.740258433360772
APHA,-inf,0,0,0
SONN,-inf,0,0,0
ETFC,0.0,0,0,-6.94601800107989
CLNE,0.0,0,0,-7.4642587761298955
VEON,-inf,0,0,0
FANG,-inf,0,0,0
MGEN,-inf,0,0,0
FOLD,-inf,0,0,0
XLNX,0.0,0,0,-2.7326672294665455
DISCA,0.0,0,0,-12.006719760676587
TXMD,0.0,0,0,-17.499997951090364
OTLK,-inf,0,0,0
BND,-inf,0,0,0
ANGI,-inf,0,0,0
NBL,-inf,2.3001099180143036,0,0
AMZN,0.0,0,0,-9.190974892334081
FITB,-inf,0,0,0
ACWX,-inf,0,0,0
WKHS,0.0,0,0,-39.329389021692684
FB,-inf,0,0,0
SFIX,-inf,0,0,0
LTRPA,-inf,0.4717089349841386,0,0
XEL,-inf,0,0,0
RRR,-inf,0,0,0
TMUS,-inf,0,0,0
TSLA,-inf,0,0,0
NVDA,-inf,0,0,0
WDC,-inf,0,0,0
CREX,-inf,0,0,0
STNE,-inf,0,0,0
CBAY,-inf,0,0,0
TRIP,0.0,0,0,-8.17491038906647
ALT,-inf,0,0,0
MRVL,-inf,0,0,0
SMH,-inf,0,0,0
LVGO,-inf,0,0,0
GAN,-inf,0,0,0
BLMN,-inf,0,0,0
MBRX,-inf,0,0,0
SHV,-inf,0,0,0
SQQQ,-inf,0,0,0
RPRX,0.0,0,0,-9.727538188847706
MCHI,0.0,0,0,-4.303663771500754
VISL,-inf,0,0,0
ADI,-inf,0,0,0
URBN,-inf,0,0,0
JAMF,-inf,0,0,0
TGTX,-inf,0,0,0
AIKI,-inf,0,0,0
AAPL,-inf,0,0,0
MLCO,0.0,0,0,-18.31129404583186
WBA,-inf,0,0,0
SRNE,0.0,0,0,-33.534484615507296
NWSA,0.0,0,0,-12.33681088314228
LBTYK,-inf,0,0,0
GPOR,-inf,0,0,0
IRWD,-inf,0,0,0
YRCW,-inf,0,0,0
APA,-inf,0,0,0
MYOS,0.0,0,0,-12.925173709016136
VOD,-inf,0,0,0
NBEV,0.0,0,0,-10.614521902809393
UPWK,-inf,0,0,0
NERV,0.0,0,0,-7.163323762660523
CZR,-inf,0,0,0
WEN,-inf,0,0,0
MGNI,-inf,6.122443021609958,0,0
CRWD,-inf,0,0,0
DLTR,0.0,0,0,-4.49177000351062
MSFT,0.0,0,0,-5.801080399551811
FISV,0.0,0,0,-4.791728671142826
GOCO,-inf,0,0,0
IAC,0.0,0,0,-5.9248105268215445
PFF,-inf,0,0,0
XSPA,-inf,0,0,0
SAVA,-inf,0,0,0
KHC,-inf,0,0,0
BYFC,0.0,0,0,-9.550559540286107
AMAT,0.0,0,0,-9.74649470996798
BNTX,-inf,0,0,0
INTC,0.0,0,0,-12.754430039685882
HTHT,-inf,0,0,0
VLY,0.0,0,0,-5.69444247601939
NAVI,-inf,0,0,0
JD,-inf,0,0,0
SOLO,-inf,0,0,0
GNMK,-inf,0,0,0
OSTK,0.0,0,0,-3.05469171857492
MAT,-inf,0,0,0
ONTX,-inf,0,0,0
EMB,0.0,0,0,-1.9519184405017986
EA,-inf,0,0,0
BCRX,-inf,0,0,0
SINT,-inf,0,0,0
AMTD,-inf,0,0,0
INSG,-inf,0,0,0
IQ,-inf,0,0,0
LPCN,-inf,0,0,0
UONEK,-inf,0,0,0
GERN,0.0,0,0,-10.500001907348633
PDD,-inf,0,0,0
FLEX,-inf,0,0,0
BIGC,0.0,0,0,-3.2129013169886145
CLSK,0.0,0,0,-19.859583178333363
ATVI,0.0,0,0,-2.1529078119027156
OGI,-inf,0,0,0
NWL,-inf,0,0,0
BBBY,-inf,0,0,0
SIRI,-inf,0,0,0
DKNG,0.0,0,0,-25.90748413391336
MNKD,-inf,0,0,0
MCHP,0.0,0,0,-4.941133575438861
CNDT,-inf,0,0,0
TXN,-inf,0,0,0
KNDI,-inf,0,0,0
ADP,-inf,0,0,0
CETX,-inf,0,0,0
MARK,-inf,0,0,0
GNPX,0.0,0,0,-13.492063341888016
VCIT,-inf,0,0,0
PLUG,-inf,0,0,0
CSCO,-inf,0,0,0
UNIT,-inf,0.3016574018048779,0,0
CERN,0.0,0,0,-5.536949878617959
INO,-inf,0,0,0
AAL,0.0,0,0,-14.535774362114196
ACWI,-inf,0,0,0
XERS,-inf,0,0,0
IMMU,-inf,0,0,0
MYL,-inf,0,0,0
TIGR,-inf,0,0,0
CIDM,-inf,0,0,0
VXUS,-inf,0,0,0
NKLA,-inf,0,0,0
PDBC,0.0,0,0,-3.005870900048291
SPWR,-inf,0,0,0
OPK,0.0,0,0,-22.44009097096924
JBLU,-inf,0,0,0
PEIX,-inf,0,0,0
SONO,0.0,0,0,-8.516127063382061
HCACW,-inf,0,0,0
CRON,-inf,0,0,0
EXPE,-inf,0,0,0
CAN,-inf,0,0,0
TELL,-inf,0,0,0
CJJD,-inf,0,0,0
BLU,-inf,0,0,0
TTWO,0.0,0,0,-2.639945738691951
ZNGA,0.0,0,0,-15.873016193390221
BOXL,-inf,0,0,0
WIMI,-inf,0,0,0
DISCK,0.0,0,0,-12.488439676837636
IGSB,-inf,0,0,0
VIAV,-inf,0,0,0
UMRX,-inf,0,0,0
PAYX,-inf,0,0,0
ENPH,-inf,0,0,0
SFET,-inf,0,0,0
BLNK,-inf,0,0,0
CTSH,-inf,0,0,0
AMGN,0.0,0,0,-5.830975565101271
PENN,-inf,0,0,0
CVAC,-inf,0,0,0
VCSH,-inf,0,0,0
TRVN,-inf,0,0,0
ADMP,0.0,0,0,-26.80412808238959
TQQQ,-inf,0,0,0
SWKS,-inf,0,0,0
CAR,0.0,0,0,-19.040292052580632
TNXP,0.0,0,0,-15.053761786898523
ZS,-inf,0,0,0
MGI,-inf,0,0,0
HOLX,-inf,0,0,0
IBM,0.0,0,0,-7.757823838997508
T,-inf,0,0,0
DAL,-inf,0,0,0
J&J,-inf,0,0,0
GE,-inf,0,0,0
NIO,-inf,0,0,0
JKS,-inf,0,0,0
