,Unnamed: 0,ratio,AvgGain,BattingAvg
259,IMMU,4.64765042014123,0.1905280747651628,13.0
310,JKS,4.6404675799891235,4.854071695253294,15.0
132,SONN,4.334103786217801,1.3358381650713158,17.0
47,IMGN,4.185579599945672,1.8790505147271133,19.0
230,GERN,4.105473477620077,1.4570716114569953,30.0
21,ENDP,3.729890587167306,2.881574722804995,13.0
60,ARPO,3.7249065907698222,1.6194325896424069,19.0
44,OPGN,3.4052867995042453,1.0229064957933456,16.0
94,EXC,3.3621192564506512,1.0993046884717097,18.0
294,VCSH,3.1696823101736085,0.02762979229359925,18.0
